Especie;Ciudades;Regiones
Dendrocygna bicolor;1, 2, 3;
Dendrocygna viduata;4, 5, 6;
Dedrocygna autumnalis;6;
Cygnus melanocoryphus;;4:16
Coscoroba coscoroba;9, 10, 11;
Chloephaga melanoptera;;1:10
Chloephaga picta;;7:16
Chloephaga hybrida ;;13:16
Chloephaga poliocephala;14, 15;
Chloephaga rubidiceps;15, 16;
Cairina moschata;;6:9
Merganetta armata;;1:2, 4:16
Pterocnemia pennata;13;
Nothoprocta ornata;;1:4
Nothoprocta perdicaria;;4:14
Nothoprocta pentlandii;13;
Eudromia elegans;23;
Tinamotis pentlandii;18;
Tinamotis ingoufi;;15:16
Calliplepa Californica;;4:12
Phasianus colchicus;20;
Podilymbus podiceps;;4:15
Rollandia Rolland;;1:16
Podiceps major;;4:16
Podiceps occipitalis;;4:16
Aptenodytes patagonicus;15;
Aptenodytes forsteri;27;
Pygoscelis papua;11;
Pygoscelis adeliae;27;
Pygoscelis antarctica;11;
Spheniscus humboldti;;1:6, 14
Phoebastria irrorata;28;
Diomedea exulans;;1:16
Phoebetria fusca;11;
Thalassarche melanophrys;;1:16
Macronectes giganteus;;1:16
Fulmarus glacialoides;26;
Pagodroma nivea;27;
Aphrodroma brevirostris;12, 11;
Pterodroma macroptera;16;
Pterodroma lessoni;26, 11;
Puffinus creatopus;26;
Fregetta grallaria;26;
Pelecanoides garnotii;;1:13
Phaeton aethereus;;4:6
Pelecanus thagus;;1:13
Chordeiles acutipennis;31;
Caprimulgus longirostris;;1: 16
Chaetura pelagica ;;1:4
Aeronautes  andecolus;;1:2
Colibri coruscans;33;1
Oreotrochilus estella;34;3
Oreotrochilus leucopleurus;4;3
Lafresnaya lafresnayi;35;1
Patagona gigas;;1:14
Ceryle torquata;;11:16
Chloroceryle americana;36;2
Dryobates lignarius;;5:16
Colaptes pitius;;4:16
Colaptes rupicola;;1:2
Campephilus magellanicus;;9:16
Geositta cunicularia;;4:14
Geositta tenuirostris;;1
Upucerthia dumetaria;37;1
Aphrastura spinicauda;;5:16
Leptasthenura aegithaloides;;5:15
Sylviorthorhynchus desmursii;;6:16
Pteroptochos tarnii;;11:16
Pteroptochos megapodius;;5:11
Elaenia albiceps;;4:16
Anairetes parulus;;3:16
Turdus falcklandii;;4:16
Zonotrichia capensis;;4:14
Tyto alba ;;1:16
Glaucidium nanum;;4:16
